phase,cell,metric,old,amended,difference
mechanism_discovery,parallel_1.3,directed_drift_alpha0.9,4.997179806162406,4.997179806162406,0.0
mechanism_discovery,parallel_1.3,centroid_drift_alpha0.9,4.989566332429753,4.989566332429753,0.0
mechanism_discovery,parallel_1.3,hausdorff_alpha0.9,6.327430956417352,6.327430956417352,0.0
mechanism_discovery,parallel_1.3,raw_ratio_alpha0.9,-0.017884812303531325,-0.017884812303531325,0.0
mechanism_discovery,parallel_1.3,Theta_alpha0.8,0.07440839819435326,0.07440839819435326,0.0
mechanism_discovery,parallel_1.3,R_raw_alpha0.8,-0.7042193740633644,-0.7042193740633644,0.0
mechanism_discovery,parallel_1.3,directed_drift_alpha0.8,3.7785869155082947,3.7785869155082947,0.0
mechanism_discovery,parallel_1.3,centroid_drift_alpha0.8,4.346113897916146,4.346113897916146,0.0
mechanism_discovery,parallel_1.3,hausdorff_alpha0.8,5.99070478491457,5.99070478491457,0.0
mechanism_discovery,parallel_1.3,raw_ratio_alpha0.8,-0.13752347450644486,-0.13752347450644486,0.0
mechanism_discovery,parallel_1,Theta_alpha0.9,0.11105882286863668,0.11105882286863668,0.0
mechanism_discovery,parallel_1,R_raw_alpha0.9,0.4570092232427512,0.4570092232427512,0.0
mechanism_discovery,parallel_1,directed_drift_alpha0.9,5.0610515989899705,5.0610515989899705,0.0
mechanism_discovery,parallel_1,centroid_drift_alpha0.9,5.30139898629011,5.30139898629011,0.0
mechanism_discovery,parallel_1,hausdorff_alpha0.9,6.654861912834704,6.654861912834704,0.0
mechanism_discovery,parallel_1,raw_ratio_alpha0.9,0.08156315066933384,0.08156315066933384,0.0
mechanism_discovery,parallel_1,Theta_alpha0.8,0.1506873583142122,0.1506873583142122,0.0
mechanism_discovery,parallel_1,R_raw_alpha0.8,0.47016614592418593,0.47016614592418593,0.0
mechanism_discovery,parallel_1,directed_drift_alpha0.8,3.7785869155082947,3.7785869155082947,0.0
mechanism_discovery,parallel_1,centroid_drift_alpha0.8,4.751699885444399,4.751699885444399,0.0
mechanism_discovery,parallel_1,hausdorff_alpha0.8,6.558043945945933,6.558043945945933,0.0
mechanism_discovery,parallel_1,raw_ratio_alpha0.8,0.15356885385339358,0.15356885385339358,0.0
